id,date published,source,headline,author,description,directory,link
Michael Brown,08-18-2014,WSJ,Fergusons Curfew Lifted as National Guard Arrives,Matthew Dolan and Pervaiz Shallwani,Missouri Gov. Jay Nixon lifted the nighttime curfew as the National Guard arrived to help restore order in Ferguson after another night of clashes between police and protesters.,Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/missouri-governor-deploys-national-guard-after-clashes-in-ferguson-1408348954?page=3
Michael Brown,08-16-2014,WSJ,Missouri Governor Faces Angry Crowd at Meeting,Ben Kesling,"Missouri Governor Jay Nixon, other officials faced a hostile crowd Saturday in St. Louis as they announced a plan to institute a state of emergency and a curfew for Ferguson.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/missouri-governor-faces-angry-crowd-in-st-louis-at-ferguson-meeting-1408230468?page=3
Michael Brown,08-14-2014,WSJ,Fergusons Divide Fueled Tensions,"Mark Peters
		
	and Ben Kesling","Racial tensions that have exploded in Ferguson, Mo., over the police shooting of Michael Brown have been decades in the making.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/missouri-community-seeks-answers-about-police-shooting-of-teen-1407939862?page=3
Michael Brown,08-15-2014,WSJ,Groups Around Country March in Solidarity With Missouri Protesters,"Pervaiz Shallwani in New York, Sheila V Kumar in Los Angeles and Scott Calvert in Baltimore","Groups in cities across the country marched in solidarity Thursday with those in Ferguson, Mo., who have been protesting the killing by a police officer of an unarmed teenager, Michael Brown.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/groups-around-country-march-in-solidarity-with-ferguson-mo-protesters-1408070758?page=3
Michael Brown,10-14-2014,WSJ,Protests in Ferguson Decry Deaths of Black Teens,Jesse Newman,"Hundreds of people gathered amid heavy rain and blowing winds in Ferguson, Mo., to demonstrate against the killing of Michael Brown and at least one other St. Louis-Area black teenager by white police officers in recent months.",Michael Brown/WSJ/October 2014,http://online.wsj.com/articles/protests-in-ferguson-mo-decry-deaths-of-black-teens-1413229120?page=3
Michael Brown,08-18-2014,WSJ,Racial Divide in Response to Missouri Shooting Poll Finds,Andrea Gallo,"The shooting of Michael Brown in Ferguson, Mo., last week has stirred contrasting reactions from blacks and whites nationwide, a new Pew Research Center study shows.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/racial-divide-in-response-to-missouri-shooting-poll-finds-1408393169?page=3
Michael Brown,08-11-2014,WSJ,Protesters Hit the Streets With Hands Up,Ben Kesling and Mark Peters,"""Hands up, don't shoot!"" has become the rallying cry for protesters in Ferguson, Mo., where unarmed 18-year-old Michael Brown was shot and killed by a police officer.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/missouri-protesters-take-to-the-streets-with-hands-up-1407807518?page=3
Michael Brown,10-22-2014,WSJ,Leaked Autopsy Details Struggle Before Ferguson Shooting Death,Ben Kesling,"Unarmed teenager Michael Brown allegedly charged Ferguson, Mo., police officer Darren Wilson moments before he was shot dead, according to a police account in a leaked copy of an official autopsy.",Michael Brown/WSJ/October 2014,http://online.wsj.com/articles/leaked-autopsy-details-struggle-before-ferguson-shooting-death-1414011513?page=1
Michael Brown,08-24-2014,WSJ,Small Group Gathers in St Louis to Support Officer at Center of Storm,Dan Frosch And Melanie Trottman,"A day before Michael Brown was to be buried, a few dozen people gathered outside a bar near downtown to support Darren Wilson, the police officer who shot him to death more than two weeks ago setting off a heated national discourse on race.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/small-group-gathers-in-st-louis-to-support-officer-at-center-of-storm-1408909790?page=1
Michael Brown,08-17-2014,WSJ,Ferguson Curfew to Continue Indefinitely,Josh Mitchell,"Missouri Gov. Jay Nixon said authorities would continue to impose a curfew in Ferguson, Mo., indefinitely to contain violent protests over the death of 18-year-old Michael Brown, an unarmed black teenager shot by a police officer a week ago.",Michael Brown/WSJ/August 2014,http://online.wsj.com/articles/missouri-governor-ferguson-curfew-to-continue-indefinitely-1408284080?page=1
